query,name,site,subtypes,category,type,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
"outdoor swimming pool, 36828, Buchabade (Touron), Galicia, ES",Área recreativa Ponte das Taboas,http://www.castrocaldelas.es/,Public swimming pool,attractions,Public swimming pool,+34 988 20 30 00,"32769 Castro Caldelas, Province of Ourense",,,Castro Caldelas,32769.0,Province of Ourense,,Spain,ES,42.364046,-7.403154,Europe/Madrid,,False,4.2,163.0,"https://search.google.com/local/reviews?placeid=ChIJqyj6qPF0MA0RE82-nPK2iQ8&q=outdoor+swimming+pool,+36828,+Buchabade+(Touron),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,8.0,7.0,19.0,46.0,83.0,141.0,https://lh5.googleusercontent.com/p/AF1QipOH3Mol4o_FT1a7smiKqWJ2_7K8_qzGE4jF7LEe=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOH3Mol4o_FT1a7smiKqWJ2_7K8_qzGE4jF7LEe=w1600-h1000-k-no,,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,,,,False,,Área recreativa Ponte das Taboas,,,,,,"https://www.google.com/maps/place/%C3%81rea+recreativa+Ponte+das+Taboas/@42.364045999999995,-7.403154,14z/data=!4m8!1m2!2m1!1s%C3%81rea+recreativa+Ponte+das+Taboas!3m4!1s0xd3074f1a8fa28ab:0xf89b6f29cbecd13!8m2!3d42.364045999999995!4d-7.403154",ChIJqyj6qPF0MA0RE82-nPK2iQ8,0xd3074f1a8fa28ab:0xf89b6f29cbecd13,1119627135506369811,1.1196271355063698e+18,
"outdoor swimming pool, 36828, Buchabade (Touron), Galicia, ES",Praia fluvial de Ponte Caldelas,,"Hiking area, Tourist attraction",attractions,Hiking area,,"Lugar Caldelas, s/n, 36820, Pontevedra",,"Lugar Caldelas, s/n",ES,36820.0,Pontevedra,,Spain,ES,42.3912312,-8.4917641,Europe/Madrid,,False,4.6,640.0,"https://search.google.com/local/reviews?placeid=ChIJa8w2RQJ4Lw0R_iwGMUd8hGA&q=outdoor+swimming+pool,+36828,+Buchabade+(Touron),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,7.0,7.0,38.0,156.0,432.0,1727.0,https://lh5.googleusercontent.com/p/AF1QipPwrfv6ulKMMVX8SOrA_YOWa-Fntu5escKauwoM=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPwrfv6ulKMMVX8SOrA_YOWa-Fntu5escKauwoM=w1600-h1000-k-no,,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public toilet"": true, ""Swings"": true}, ""Children"": {""Good for kids"": true, ""Good for kids birthday"": true, ""Kid-friendly hikes"": true, ""Playground"": true}, ""Pets"": {""Dogs allowed"": true}}",,,,,,False,,Praia fluvial de Ponte Caldelas,,,,,,"https://www.google.com/maps/place/Praia+fluvial+de+Ponte+Caldelas/@42.3912312,-8.4917641,14z/data=!4m8!1m2!2m1!1sPraia+fluvial+de+Ponte+Caldelas!3m4!1s0xd2f78024536cc6b:0x60847c4731062cfe!8m2!3d42.3912312!4d-8.4917641",ChIJa8w2RQJ4Lw0R_iwGMUd8hGA,0xd2f78024536cc6b:0x60847c4731062cfe,6954820369773899006,6.954820369773899e+18,
"outdoor swimming pool, 36828, Buchabade (Touron), Galicia, ES",Área Arqueológica de Tourón,,Museum,museums,Museum,,"Lugar de Touron, s/n. 36828, Pontevedra",,"Lugar de Touron, s/n. 36828",ES,36828.0,Pontevedra,,Spain,ES,42.405012,-8.5244106,Europe/Madrid,,False,4.1,47.0,"https://search.google.com/local/reviews?placeid=ChIJcUBTIZx3Lw0Rx4jNWx_b9Ps&q=outdoor+swimming+pool,+36828,+Buchabade+(Touron),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,2.0,2.0,8.0,11.0,24.0,73.0,https://lh5.googleusercontent.com/p/AF1QipO506_BhELhTe7M05AQMEc6dyY0B64PNfDFVLcl=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO506_BhELhTe7M05AQMEc6dyY0B64PNfDFVLcl=w1600-h1000-k-no,,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible entrance"": false}, ""Amenities"": {""Restaurant"": false}, ""Children"": {""Good for kids"": true}}",,,,,,False,,Área Arqueológica de Tourón,,,,,,"https://www.google.com/maps/place/%C3%81rea+Arqueol%C3%B3gica+de+Tour%C3%B3n/@42.405012,-8.5244106,14z/data=!4m8!1m2!2m1!1s%C3%81rea+Arqueol%C3%B3gica+de+Tour%C3%B3n!3m4!1s0xd2f779c21534071:0xfbf4db1f5bcd88c7!8m2!3d42.405012!4d-8.5244106",ChIJcUBTIZx3Lw0Rx4jNWx_b9Ps,0xd2f779c21534071:0xfbf4db1f5bcd88c7,18155376925567977671,-2.9136714814157395e+17,
"outdoor swimming pool, 27813, Torre (Santa Maria) (Vilalba), Galicia, ES",Igrexa de Santa María de Vilalba,http://www.mondonedoferrol.org/,Catholic church,Igrexa católica,Catholic church,+34 982 51 04 06,"Pl. Sta. María, 6, 27800 Vilalba, Lugo",,"Pl. Sta. María, 6",Vilalba,27800.0,Lugo,,Spain,ES,43.2986342,-7.683019099999999,Europe/Madrid,8CMJ78X8+FQ,False,4.2,31.0,"https://search.google.com/local/reviews?placeid=ChIJPbaWvKbmMQ0RVCkYopA5F8M&q=outdoor+swimming+pool,+27813,+Torre+(Santa+Maria)+(Vilalba),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,1.0,1.0,4.0,10.0,15.0,94.0,https://lh5.googleusercontent.com/p/AF1QipP4NXhJ9phEJEOJCfq-AYEznhYld6M_Rh47UxmV=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNmDW5PoJR7AyYlBxR5v1YhMWYB-Pi0ILCMt9y2=w1600-h1000-k-no,,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:Closed|Tuesday:9AM-9PM|Wednesday:9AM-9PM|Thursday:Closed|Friday:Closed|Saturday:Closed|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible entrance"": true}}",,,,,,False,,Igrexa de Santa María de Vilalba,,,,,,"https://www.google.com/maps/place/Igrexa+de+Santa+Mar%C3%ADa+de+Vilalba/@43.298634199999995,-7.683019099999999,14z/data=!4m8!1m2!2m1!1sIgrexa+de+Santa+Mar%C3%ADa+de+Vilalba!3m4!1s0xd31e6a6bc96b63d:0xc3173990a2182954!8m2!3d43.298634199999995!4d-7.683019099999999",ChIJPbaWvKbmMQ0RVCkYopA5F8M,0xd31e6a6bc96b63d:0xc3173990a2182954,14057768055217858900,-4.3889760184916925e+18,
"public swimming pool, 36579, Moalde (San Mamede), Galicia, ES",Piscina pública de A Bandeira,,Public swimming pool,attractions,Public swimming pool,+34 986 58 00 00,"Rua a Devesa, 4, 36570 Bandeira, Pontevedra",,"Rua a Devesa, 4",Bandeira,36570.0,Pontevedra,,Spain,ES,42.7255976,-8.3048693,Europe/Madrid,,False,4.5,11.0,"https://search.google.com/local/reviews?placeid=ChIJD9SMoAOwLw0RYZzTxmvQBZY&q=public+swimming+pool,+36579,+Moalde+(San+Mamede),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,1.0,0.0,0.0,2.0,8.0,9.0,https://lh5.googleusercontent.com/p/AF1QipPft0Ob7l90UGpJQbi4AHwOy7BYRijDTmlokb5d=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPft0Ob7l90UGpJQbi4AHwOy7BYRijDTmlokb5d=w1600-h1000-k-no,,"{""Monday"": ""11AM-8PM"", ""Tuesday"": ""11AM-8PM"", ""Wednesday"": ""11AM-8PM"", ""Thursday"": ""11AM-8PM"", ""Friday"": ""11AM-8PM"", ""Saturday"": ""11AM-8PM"", ""Sunday"": ""12:30-8PM""}",Monday:11AM-8PM|Tuesday:11AM-8PM|Wednesday:11AM-8PM|Thursday:11AM-8PM|Friday:11AM-8PM|Saturday:11AM-8PM|Sunday:12:30-8PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,https://lh6.googleusercontent.com/-g85j1_PUhto/AAAAAAAAAAI/AAAAAAAAAAA/K9594mEzY0k/s44-p-k-no-ns-nd/photo.jpg,,,True,102808805279214053008,Piscina pública de A Bandeira,https://www.google.com/maps/contrib/102808805279214053008,,,,,"https://www.google.com/maps/place/Piscina+p%C3%BAblica+de+A+Bandeira/@42.7255976,-8.3048693,14z/data=!4m8!1m2!2m1!1sPiscina+p%C3%BAblica+de+A+Bandeira!3m4!1s0xd2fb003a08cd40f:0x9605d06bc6d39c61!8m2!3d42.7255976!4d-8.3048693",ChIJD9SMoAOwLw0RYZzTxmvQBZY,0xd2fb003a08cd40f:0x9605d06bc6d39c61,10810275641888578657,-7.636468431820973e+18,
"public swimming pool, 36579, Moalde (San Mamede), Galicia, ES",Piscina Municipal de Silleda,http://silleda.es/,Public swimming pool,attractions,Public swimming pool,+34 986 58 00 00,"Rua Acceso Recinto Ferial, 14, 36542 Silleda, Pontevedra",,"Rua Acceso Recinto Ferial, 14",Silleda,36542.0,Pontevedra,,Spain,ES,42.7029375,-8.2454384,Europe/Madrid,,False,4.2,27.0,"https://search.google.com/local/reviews?placeid=ChIJM91hKEC6Lw0RjCqn8tbvfdA&q=public+swimming+pool,+36579,+Moalde+(San+Mamede),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,2.0,0.0,3.0,7.0,15.0,3.0,https://lh5.googleusercontent.com/p/AF1QipPwbEC6H0nOAO1S5m3VdrPP8L1stfY4MfGXvFH7=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPwbEC6H0nOAO1S5m3VdrPP8L1stfY4MfGXvFH7=w1600-h1000-k-no,,"{""Monday"": ""2:30-9PM"", ""Tuesday"": ""2:30-9PM"", ""Wednesday"": ""2:30-9PM"", ""Thursday"": ""2:30-9PM"", ""Friday"": ""2:30-9PM"", ""Saturday"": ""3:30-10PM"", ""Sunday"": ""3:30-10PM""}",Monday:2:30-9PM|Tuesday:2:30-9PM|Wednesday:2:30-9PM|Thursday:2:30-9PM|Friday:2:30-9PM|Saturday:3:30-10PM|Sunday:3:30-10PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,,,,False,,Piscina Municipal de Silleda,,,,,,"https://www.google.com/maps/place/Piscina+Municipal+de+Silleda/@42.7029375,-8.2454384,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal+de+Silleda!3m4!1s0xd2fba402861dd33:0xd07defd6f2a72a8c!8m2!3d42.7029375!4d-8.2454384",ChIJM91hKEC6Lw0RjCqn8tbvfdA,0xd2fba402861dd33:0xd07defd6f2a72a8c,15023427638450924172,-3.4233164352586276e+18,
"public swimming pool, 36579, Moalde (San Mamede), Galicia, ES",Piscinas da Carixa,,Public swimming pool,attractions,Public swimming pool,,"36586 Vila de Cruces, Pontevedra",,,Vila de Cruces,36586.0,Pontevedra,,Spain,ES,42.7622458,-8.257235,Europe/Madrid,,False,4.4,15.0,"https://search.google.com/local/reviews?placeid=ChIJ_-DRWwKxLw0RjtglHcfCLHE&q=public+swimming+pool,+36579,+Moalde+(San+Mamede),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,0.0,0.0,1.0,7.0,7.0,114.0,https://lh5.googleusercontent.com/p/AF1QipNoZzoLVI_DRU4v9mSQDvkLcPpYASqTjLQ-MsA6=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNoZzoLVI_DRU4v9mSQDvkLcPpYASqTjLQ-MsA6=w1600-h1000-k-no,,"{""Monday"": ""11:30AM-8:30PM"", ""Tuesday"": ""11:30AM-8:30PM"", ""Wednesday"": ""11:30AM-8:30PM"", ""Thursday"": ""11:30AM-8:30PM"", ""Friday"": ""11:30AM-8:30PM"", ""Saturday"": ""11:30AM-8:30PM"", ""Sunday"": ""11:30AM-8:30PM""}",Monday:11:30AM-8:30PM|Tuesday:11:30AM-8:30PM|Wednesday:11:30AM-8:30PM|Thursday:11:30AM-8:30PM|Friday:11:30AM-8:30PM|Saturday:11:30AM-8:30PM|Sunday:11:30AM-8:30PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,,,,False,,Piscinas da Carixa,,,,,,"https://www.google.com/maps/place/Piscinas+da+Carixa/@42.762245799999995,-8.257235,14z/data=!4m8!1m2!2m1!1sPiscinas+da+Carixa!3m4!1s0xd2fb1025bd1e0ff:0x712cc2c71d25d88e!8m2!3d42.762245799999995!4d-8.257235",ChIJ_-DRWwKxLw0RjtglHcfCLHE,0xd2fb1025bd1e0ff:0x712cc2c71d25d88e,8155107185704425614,8.155107185704425e+18,
"public swimming pool, 36579, Moalde (San Mamede), Galicia, ES",Piscina municipal,,Public swimming pool,attractions,Public swimming pool,+34 986 58 20 17,"Rúa Neira Vilas, 38, 36590 Vila de Cruces, Pontevedra",,"Rúa Neira Vilas, 38",Vila de Cruces,36590.0,Pontevedra,,Spain,ES,42.7923522,-8.1667732,Europe/Madrid,,False,4.2,25.0,"https://search.google.com/local/reviews?placeid=ChIJKxAhXm-2Lw0RcMiXWhKB45o&q=public+swimming+pool,+36579,+Moalde+(San+Mamede),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,0.0,1.0,5.0,7.0,12.0,4.0,https://lh5.googleusercontent.com/p/AF1QipPj-Mg0QSRuaX_BcHv-qJivwRcNdzrYa--FvXtF=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPj-Mg0QSRuaX_BcHv-qJivwRcNdzrYa--FvXtF=w1600-h1000-k-no,,"{""Monday"": ""11:30AM-8:30PM"", ""Tuesday"": ""11:30AM-8:30PM"", ""Wednesday"": ""11:30AM-8:30PM"", ""Thursday"": ""11:30AM-8:30PM"", ""Friday"": ""11:30AM-8:30PM"", ""Saturday"": ""11:30AM-8:30PM"", ""Sunday"": ""11:30AM-8:30PM""}",Monday:11:30AM-8:30PM|Tuesday:11:30AM-8:30PM|Wednesday:11:30AM-8:30PM|Thursday:11:30AM-8:30PM|Friday:11:30AM-8:30PM|Saturday:11:30AM-8:30PM|Sunday:11:30AM-8:30PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,,,,False,,Piscina municipal,,,,,,"https://www.google.com/maps/place/Piscina+municipal/@42.792352199999996,-8.1667732,14z/data=!4m8!1m2!2m1!1sPiscina+municipal!3m4!1s0xd2fb66f5e21102b:0x9ae381125a97c870!8m2!3d42.792352199999996!4d-8.1667732",ChIJKxAhXm-2Lw0RcMiXWhKB45o,0xd2fb66f5e21102b:0x9ae381125a97c870,11160906217383512176,-7.28583785632604e+18,
"public swimming pool, 36579, Moalde (San Mamede), Galicia, ES",Piscina municipal Mos,https://www.mos.es/actividades-e-cursos/,Public swimming pool,attractions,Public swimming pool,+34 986 33 40 70,"Rúa Brea, 13, 36417, Pontevedra",,"Rúa Brea, 13",ES,36417.0,Pontevedra,,Spain,ES,42.1979434,-8.634367899999999,Europe/Madrid,,False,4.3,81.0,"https://search.google.com/local/reviews?placeid=ChIJIa3eu7mHJQ0RU8SCZDdbsck&q=public+swimming+pool,+36579,+Moalde+(San+Mamede),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,2.0,0.0,6.0,34.0,39.0,24.0,https://lh5.googleusercontent.com/p/AF1QipM13fFaNBhEB63Saf-sZxo8fYQGJYddHxO2HY_F=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM13fFaNBhEB63Saf-sZxo8fYQGJYddHxO2HY_F=w1600-h1000-k-no,,"{""Monday"": ""8AM-2:30PM,4-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-2:30PM,4-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-2:30PM,4-10PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}","Monday:8AM-2:30PM,4-10PM|Tuesday:8AM-10PM|Wednesday:8AM-2:30PM,4-10PM|Thursday:8AM-10PM|Friday:8AM-2:30PM,4-10PM|Saturday:Closed|Sunday:Closed",,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,https://lh4.googleusercontent.com/-DQvvFNUmYx4/AAAAAAAAAAI/AAAAAAAAAAA/vqjuKrKLj3Y/s44-p-k-no-ns-nd/photo.jpg,,,True,104631565148445780088,Piscina municipal Mos,https://www.google.com/maps/contrib/104631565148445780088,,,,,"https://www.google.com/maps/place/Piscina+municipal+Mos/@42.1979434,-8.634367899999999,14z/data=!4m8!1m2!2m1!1sPiscina+municipal+Mos!3m4!1s0xd2587b9bbdead21:0xc9b15b376482c453!8m2!3d42.1979434!4d-8.634367899999999",ChIJIa3eu7mHJQ0RU8SCZDdbsck,0xd2587b9bbdead21:0xc9b15b376482c453,14533497765968921683,-3.91324630774063e+18,
"public swimming pool, 36579, Moalde (San Mamede), Galicia, ES",Piscina Municipal,http://www.concellodetouro.com/index.php/gl/servizos/piscina-municipal,Public swimming pool,attractions,Public swimming pool,+34 981 50 40 00,"15822, A Coruña",,,ES,15822.0,A Coruña,,Spain,ES,42.8708615,-8.3119608,Europe/Madrid,,False,4.2,26.0,"https://search.google.com/local/reviews?placeid=ChIJc0Dy-1StLw0RBg7PgLrfwHg&q=public+swimming+pool,+36579,+Moalde+(San+Mamede),+Galicia,+ES&authuser=0&hl=en&gl=ES",,,1.0,0.0,3.0,10.0,12.0,7.0,https://lh5.googleusercontent.com/p/AF1QipNtjO7uD-ftbCdC60_c4THv4ifPbV5Ol0vZWIcv=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNtjO7uD-ftbCdC60_c4THv4ifPbV5Ol0vZWIcv=w1600-h1000-k-no,,"{""Monday"": ""3-8PM"", ""Tuesday"": ""3-8PM"", ""Wednesday"": ""3-8PM"", ""Thursday"": ""3-8PM"", ""Friday"": ""3-8PM"", ""Saturday"": ""3-8PM"", ""Sunday"": ""3-8PM""}",Monday:3-8PM|Tuesday:3-8PM|Wednesday:3-8PM|Thursday:3-8PM|Friday:3-8PM|Saturday:3-8PM|Sunday:3-8PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",,,https://lh3.googleusercontent.com/-2GkDjW_pGzs/AAAAAAAAAAI/AAAAAAAAAAA/vle1HESuHqA/s44-p-k-no-ns-nd/photo.jpg,,,True,113977457470110287936,Piscina Municipal,https://www.google.com/maps/contrib/113977457470110287936,,,,,"https://www.google.com/maps/place/Piscina+Municipal/@42.8708615,-8.3119608,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal!3m4!1s0xd2fad54fbf24073:0x78c0dfba80cf0e06!8m2!3d42.8708615!4d-8.3119608",ChIJc0Dy-1StLw0RBg7PgLrfwHg,0xd2fad54fbf24073:0x78c0dfba80cf0e06,8701200472197762566,8.701200472197763e+18,
