id,nombre,municipio,comarca,provincia,direccion,codigo_postal,sector,tipo_instalacion,subtipo_instalacion,area_actividad,telefono,web_link,latitude,longitude,descripcion,maps_link,place_id,otro1,otro2,otro3
1,Gimnasio Sonfit,Láncara,Sarria,Lugo,"Rúa Benigno Quiroga, 36, 27360 Láncara, Lugo",27360.0,Gimnasio,Gymnastics center,Gymnastics center,nan,+34 640 01 58 51,https://gimnasiosonfit.com/,42.8636206,-7.4454762,"En Sonfit encontrarás todas las actividades que más te gustan, en un ambiente familiar que hará que te resulte fácil venir y ejercitarte. Disfrutarás de grandes momentos y verás cambios positivos en ti. Sabemos que hacer deporte es saludable y estimulante pero también sabemos que a veces cuesta sacar tiempo. Tu tiempo en el gimnasio será ameno y divertido vendrás a disfrutar sin pensar en nada más y verás sus beneficios poco a poco.","https://www.google.com/maps/place/Gimnasio+Sonfit/@42.8636206,-7.4454762,14z/data=!4m8!1m2!2m1!1sGimnasio+Sonfit!3m4!1s0xd3035140c3b8175:0x92f57ec4474d3012!8m2!3d42.8636206!4d-7.4454762",ChIJdYE7DBQ1MA0REjBNR8R-9ZI,"fitness center, San Pantaleon Das Viñas (San Pantaleon), Galicia, ES","{""Service options"": {""On-site services"": true, ""Online classes"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilets"": true}, ""Planning"": {""Membership required"": true}, ""Children"": {""Good for kids"": true}}",nan
2,Cemitério de Vilesteva,Láncara,Sarria,Lugo,"27699 Láncara, Lugo",27699.0,Cementerio,Cemetery,Cemetery,nan,nan,nan,42.8274055,-7.231548,nan,"https://www.google.com/maps/place/Cemit%C3%A9rio+de+Vilesteva/@42.8274055,-7.231548,14z/data=!4m8!1m2!2m1!1sCemit%C3%A9rio+de+Vilesteva!3m4!1s0xd3051b6d3edfb75:0xdb983de8a914ded8!8m2!3d42.8274055!4d-7.231548",ChIJdfvt07ZRMA0R2N4Uqeg9mNs,"fitness center, Vilaesteva (Santa Maria) (Lancara), Galicia, ES",{},nan
3,Piscina Municipal “Os Carrís”,Barbadás,Orense,Ourense,"Rúa das Cuartas, 21, 32002 Barbadás, Ourense",32002.0,Piscinas,Swimming facility,Swimming facility,nan,+34 988 26 35 19,nan,42.3127584,-7.8825704,nan,"https://www.google.com/maps/place/Piscina+Municipal+%E2%80%9COs+Carr%C3%ADs%E2%80%9D/@42.3127584,-7.8825704,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal+%E2%80%9COs+Carr%C3%ADs%E2%80%9D!3m4!1s0xd2ff94580fa2eaf:0x576997a4bb1f722f!8m2!3d42.3127584!4d-7.8825704",ChIJry76gEX5Lw0RL3Ifu6SXaVc,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",nan
4,Polideportivo de Barbadás,Barbadás,Orense,Ourense,"32002 Barbadás, Province of Ourense",32002.0,Sports complex,Sports complex,Sports complex,nan,+34 988 26 35 19,http://edbarbadas.com/horarios/,42.3127397,-7.881140299999999,nan,"https://www.google.com/maps/place/Polideportivo+de+Barbad%C3%A1s/@42.3127397,-7.881140299999999,14z/data=!4m8!1m2!2m1!1sPolideportivo+de+Barbad%C3%A1s!3m4!1s0xd2ff8d0efb1b747:0x64a0b88355e0530!8m2!3d42.3127397!4d-7.881140299999999",ChIJR7ex79D4Lw0RMAVeNYgLSgY,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",nan
5,La Chapa Pool CLUB,Ourense,Orense,Ourense,"Barrio Chapa A, 26, 32001 Ourense, Province of Ourense",32001.0,Piscina al aire libre,Outdoor swimming pool,Outdoor swimming pool,nan,nan,nan,42.3537558,-7.873264499999999,nan,"https://www.google.com/maps/place/La+Chapa+Pool+CLUB/@42.353755799999995,-7.873264499999999,14z/data=!4m8!1m2!2m1!1sLa+Chapa+Pool+CLUB!3m4!1s0xd2ff9c24717f013:0x94820ff5409699dc!8m2!3d42.353755799999995!4d-7.873264499999999",ChIJE_AXR8L5Lw0R3JmWQPUPgpQ,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}}",nan
6,Piscinas Taboadela,Taboadela,Orense,Ourense,"32690 Taboadela, Province of Ourense",32690.0,attractions,Public swimming pool,Public swimming pool,nan,+34 664 10 59 79,nan,42.239712,-7.8202921,nan,"https://www.google.com/maps/place/Piscinas+Taboadela/@42.239712,-7.8202921,14z/data=!4m8!1m2!2m1!1sPiscinas+Taboadela!3m4!1s0xd2554fb6355e205:0xd262cf4c20763bf!8m2!3d42.239712!4d-7.8202921",ChIJBeJVY_tUJQ0Rv2MHwvQsJg0,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",nan
7,Piscina Municipal Avión,Avión,Ribeiro,Ourense,"PO-9304, s/n, 32520, Province of Ourense",32520.0,Piscina,Swimming pool,Swimming pool,nan,+34 636 03 08 25,https://www.facebook.com/Piscina-Municipal-de-Avi%C3%B3n-636285539814105,42.3770828,-8.260524799999999,nan,"https://www.google.com/maps/place/Piscina+Municipal+Avi%C3%B3n/@42.3770828,-8.260524799999999,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal+Avi%C3%B3n!3m4!1s0xd2f8e53c2bb5fcd:0xe5cb34f3e06aa7f3!8m2!3d42.3770828!4d-8.260524799999999",ChIJzV-7wlOOLw0R86dq4PM0y-U,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",nan
8,Pazo dos Deportes,Lugo,Lugo,Lugo,"Av. Filarmónica Lucense, 27002 Lugo",27002.0,Complexo deportivo,Sports complex,Sports complex,nan,+34 982 25 19 72,http://lugo.gal/es/localizaciones/pabellon-municipal-de-deportes,42.9912734,-7.5453399,nan,"https://www.google.com/maps/place/Pazo+dos+Deportes/@42.9912734,-7.5453399,14z/data=!4m8!1m2!2m1!1sPazo+dos+Deportes!3m4!1s0xd31cc1634fcce09:0xfe1115e9c5b0e89c!8m2!3d42.9912734!4d-7.5453399",ChIJCc78NBbMMQ0RnOiwxekVEf4,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",nan
9,Pavillón Municipal de Deportes,Barreiros,Mariña Oriental,Lugo,"Estrada Praia San Cosme, 27790 A Insua, Lugo",27790.0,Polideportivo,Sports complex,Sports complex,nan,+34 982 12 40 02,http://www.concellodebarreiros.gal/gl/servizos/pavillon-municipal,43.5457608,-7.2294601,nan,"https://www.google.com/maps/place/Pavill%C3%B3n+Municipal+de+Deportes/@43.5457608,-7.2294601,14z/data=!4m8!1m2!2m1!1sPavill%C3%B3n+Municipal+de+Deportes!3m4!1s0xd3187991d6b02fd:0x2634eada926b16f!8m2!3d43.5457608!4d-7.2294601",ChIJ_QJrHZmHMQ0Rb7Emqa1OYwI,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",nan
10,UTVOFFROAD,Lugo,Lugo,Lugo,"Rua da Margarida, 62, 27003 Lugo",27003.0,Centro de deportes de aventura,Adventure sports center,Adventure sports center,nan,+34 620 47 00 78,nan,43.027993,-7.569962999999999,nan,"https://www.google.com/maps/place/UTVOFFROAD/@43.027992999999995,-7.5699629999999996,14z/data=!4m8!1m2!2m1!1sUTVOFFROAD!3m4!1s0xd31ce58f05aaaab:0x38e7d23857a32b8!8m2!3d43.027992999999995!4d-7.5699629999999996",ChIJq6pa8FjOMQ0RuDJ6hSN9jgM,"sports complex, Prevesos, Galicia, ES",{},nan
