nombre,telefono,web_link,direccion,codigo_postal,latitude,longitude,descripcion,maps_link,place_id,sector,tipo_instalacion,subtipo_instalacion,provincia,municipio,otro1,otro2,id,comarca,area_actividad,otro3
Gimnasio Sonfit,+34 640 01 58 51,https://gimnasiosonfit.com/,"Rúa Benigno Quiroga, 36, 27360 Láncara, Lugo",27360.0,42.8636206,-7.4454762,"En Sonfit encontrarás todas las actividades que más te gustan, en un ambiente familiar que hará que te resulte fácil venir y ejercitarte. Disfrutarás de grandes momentos y verás cambios positivos en ti. Sabemos que hacer deporte es saludable y estimulante pero también sabemos que a veces cuesta sacar tiempo. Tu tiempo en el gimnasio será ameno y divertido vendrás a disfrutar sin pensar en nada más y verás sus beneficios poco a poco.","https://www.google.com/maps/place/Gimnasio+Sonfit/@42.8636206,-7.4454762,14z/data=!4m8!1m2!2m1!1sGimnasio+Sonfit!3m4!1s0xd3035140c3b8175:0x92f57ec4474d3012!8m2!3d42.8636206!4d-7.4454762",ChIJdYE7DBQ1MA0REjBNR8R-9ZI,Gimnasio,Gymnastics center,Gymnastics center,Galicia,Láncara,"fitness center, San Pantaleon Das Viñas (San Pantaleon), Galicia, ES","{""Service options"": {""On-site services"": true, ""Online classes"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilets"": true}, ""Planning"": {""Membership required"": true}, ""Children"": {""Good for kids"": true}}",1,Sarria,,
Piscina Municipal “Os Carrís”,+34 988 26 35 19,,"Rúa das Cuartas, 21, 32002 Barbadás, Ourense",32002.0,42.3127584,-7.8825704,,"https://www.google.com/maps/place/Piscina+Municipal+%E2%80%9COs+Carr%C3%ADs%E2%80%9D/@42.3127584,-7.8825704,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal+%E2%80%9COs+Carr%C3%ADs%E2%80%9D!3m4!1s0xd2ff94580fa2eaf:0x576997a4bb1f722f!8m2!3d42.3127584!4d-7.8825704",ChIJry76gEX5Lw0RL3Ifu6SXaVc,Piscinas,Swimming facility,Swimming facility,Galicia,,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",3,Orense,,
Polideportivo de Barbadás,+34 988 26 35 19,http://edbarbadas.com/horarios/,"32002 Barbadás, Province of Ourense",32002.0,42.3127397,-7.881140299999999,,"https://www.google.com/maps/place/Polideportivo+de+Barbad%C3%A1s/@42.3127397,-7.881140299999999,14z/data=!4m8!1m2!2m1!1sPolideportivo+de+Barbad%C3%A1s!3m4!1s0xd2ff8d0efb1b747:0x64a0b88355e0530!8m2!3d42.3127397!4d-7.881140299999999",ChIJR7ex79D4Lw0RMAVeNYgLSgY,Sports complex,Sports complex,Sports complex,Galicia,,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",4,Orense,,
La Chapa Pool CLUB,,,"Barrio Chapa A, 26, 32001 Ourense, Province of Ourense",32001.0,42.3537558,-7.873264499999999,,"https://www.google.com/maps/place/La+Chapa+Pool+CLUB/@42.353755799999995,-7.873264499999999,14z/data=!4m8!1m2!2m1!1sLa+Chapa+Pool+CLUB!3m4!1s0xd2ff9c24717f013:0x94820ff5409699dc!8m2!3d42.353755799999995!4d-7.873264499999999",ChIJE_AXR8L5Lw0R3JmWQPUPgpQ,Piscina al aire libre,Outdoor swimming pool,Outdoor swimming pool,Galicia,,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}}",5,Orense,,
Piscinas Taboadela,+34 664 10 59 79,,"32690 Taboadela, Province of Ourense",32690.0,42.239712,-7.8202921,,"https://www.google.com/maps/place/Piscinas+Taboadela/@42.239712,-7.8202921,14z/data=!4m8!1m2!2m1!1sPiscinas+Taboadela!3m4!1s0xd2554fb6355e205:0xd262cf4c20763bf!8m2!3d42.239712!4d-7.8202921",ChIJBeJVY_tUJQ0Rv2MHwvQsJg0,attractions,Public swimming pool,Public swimming pool,Galicia,,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",6,Orense,,
Piscina Municipal Avión,+34 636 03 08 25,https://www.facebook.com/Piscina-Municipal-de-Avi%C3%B3n-636285539814105,"PO-9304, s/n, 32520, Province of Ourense",32520.0,42.3770828,-8.260524799999999,,"https://www.google.com/maps/place/Piscina+Municipal+Avi%C3%B3n/@42.3770828,-8.260524799999999,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal+Avi%C3%B3n!3m4!1s0xd2f8e53c2bb5fcd:0xe5cb34f3e06aa7f3!8m2!3d42.3770828!4d-8.260524799999999",ChIJzV-7wlOOLw0R86dq4PM0y-U,Piscina,Swimming pool,Swimming pool,Galicia,,"swimming pool, Ponton, O (Barbadas), Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",7,Ribeiro,,
Pazo dos Deportes,+34 982 25 19 72,http://lugo.gal/es/localizaciones/pabellon-municipal-de-deportes,"Av. Filarmónica Lucense, 27002 Lugo",27002.0,42.9912734,-7.5453399,,"https://www.google.com/maps/place/Pazo+dos+Deportes/@42.9912734,-7.5453399,14z/data=!4m8!1m2!2m1!1sPazo+dos+Deportes!3m4!1s0xd31cc1634fcce09:0xfe1115e9c5b0e89c!8m2!3d42.9912734!4d-7.5453399",ChIJCc78NBbMMQ0RnOiwxekVEf4,Complexo deportivo,Sports complex,Sports complex,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",8,Lugo,,
Pavillón Municipal de Deportes,+34 982 12 40 02,http://www.concellodebarreiros.gal/gl/servizos/pavillon-municipal,"Estrada Praia San Cosme, 27790 A Insua, Lugo",27790.0,43.5457608,-7.2294601,,"https://www.google.com/maps/place/Pavill%C3%B3n+Municipal+de+Deportes/@43.5457608,-7.2294601,14z/data=!4m8!1m2!2m1!1sPavill%C3%B3n+Municipal+de+Deportes!3m4!1s0xd3187991d6b02fd:0x2634eada926b16f!8m2!3d43.5457608!4d-7.2294601",ChIJ_QJrHZmHMQ0Rb7Emqa1OYwI,Polideportivo,Sports complex,Sports complex,Galicia,Barreiros,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",9,Mariña Oriental,,
UTVOFFROAD,+34 620 47 00 78,,"Rua da Margarida, 62, 27003 Lugo",27003.0,43.027993,-7.569962999999999,,"https://www.google.com/maps/place/UTVOFFROAD/@43.027992999999995,-7.5699629999999996,14z/data=!4m8!1m2!2m1!1sUTVOFFROAD!3m4!1s0xd31ce58f05aaaab:0x38e7d23857a32b8!8m2!3d43.027992999999995!4d-7.5699629999999996",ChIJq6pa8FjOMQ0RuDJ6hSN9jgM,Centro de deportes de aventura,Adventure sports center,Adventure sports center,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES",{},10,Lugo,,
D10,+34 982 98 60 35,http://www.sportd10.com/,"Lugar de Mosteiro, 27150 Outeiro de Rei, Lugo",27150.0,43.0877434,-7.5467429,,"https://www.google.com/maps/place/D10/@43.0877434,-7.5467429,14z/data=!4m8!1m2!2m1!1sD10!3m4!1s0xd31b9805ada3501:0xd868e3a2006307c2!8m2!3d43.0877434!4d-7.5467429",ChIJATXaWoC5MQ0RwgdjAKLjaNg,Centro deportivo,Fitness center,"Fitness center, Coffee shop, Gym, Padel club, Restaurant, Swimming pool, Tennis club",Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Basketball court"": true, ""Has a tennis court"": true, ""Sauna"": true, ""Swimming pool"": true}, ""Children"": {""Good for kids"": true}}",11,Lugo,,
Pavillón Municipal de Deportes,+34 982 22 39 30,,"Estrada Vella de Santiago, s/n, 27004 Lugo",27004.0,43.0050235,-7.5624294,,"https://www.google.com/maps/place/Pavill%C3%B3n+Municipal+de+Deportes/@43.0050235,-7.5624294,14z/data=!4m8!1m2!2m1!1sPavill%C3%B3n+Municipal+de+Deportes!3m4!1s0xd31cc2a1771fa51:0x97857d75adb6946f!8m2!3d43.0050235!4d-7.5624294",ChIJUfpxFyrMMQ0Rb5S2rXV9hZc,Complexo deportivo,Sports complex,Sports complex,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",12,Lugo,,
Polideportivo Municipal Lugo,+34 982 29 74 23,,"Rúa Monte Faro, 129, 27297 Lugo",27297.0,43.0263266,-7.561762099999999,,"https://www.google.com/maps/place/Polideportivo+Municipal+Lugo/@43.0263266,-7.561762099999999,14z/data=!4m8!1m2!2m1!1sPolideportivo+Municipal+Lugo!3m4!1s0xd31cef136f723e9:0xb258692a94cc2699!8m2!3d43.0263266!4d-7.561762099999999",ChIJ6SP3NvHOMQ0RmSbMlCppWLI,Sports complex,Sports complex,Sports complex,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",13,Lugo,,
Pabellon Os Castros,,,"Estrada General Cangas, 1, 27892 Foz, Lugo",27892.0,43.6290177,-7.335442299999999,,"https://www.google.com/maps/place/Pabellon+Os+Castros/@43.6290177,-7.3354422999999995,14z/data=!4m8!1m2!2m1!1sPabellon+Os+Castros!3m4!1s0xd3226a132d2603d:0xff1e7e3204df5ff4!8m2!3d43.6290177!4d-7.3354422999999995",ChIJPWDSMqEmMg0R9F_fBDJ-Hv8,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",14,Mariña Central,,
